Finished,Q3,Q42,Q43,Q6,Q7,Q8,Q9,Salary Exp 1_1,Salary Exp 1_2,Salary Exp 1_3,Salary Exp 2,Salary Exp 2 depend_1,Salary Exp 2 depend_2,Salary Exp 3_1,Salary Exp 3_2,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q15,Q16,Q17,Q17_6_TEXT,Q18,Q20,Q23,definition
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,Man,1977,White,NA,High school graduate (high school diploma or equivalent including GED),"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$10,000 to under $20,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy is the gold standard in data privacy and protection and is widely recognized as the strongest guarantee of privacy available."
True,I agree,Yes,individuals private information,Yes,good,NA,NA,NA,NA,False,True,NA,NA,False,I don't know,Prefer not to answer.,Prefer not to answer.,5 - Full Understanding,Prefer not to answer.,Prefer not to answer.,Prefer not to answer.,Man,1986,"Black or African American,White",NA,Bachelor's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$80,000 to under $100,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential Privacy allows analysts to learn useful information from large amounts of data without compromising an individual's privacy."
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,5 - Full Understanding,2,2,Man,1993,Black or African American,NA,Bachelor's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$10,000 to under $20,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy ensures that the removal or addition of a single database item does not (substantially) affect the outcome of any analysis. It follows that no risk is incurred by joining the database, providing a mathematically rigorous means of coping with the fact that distributional information may be disclosive."
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,4,4,3,Man,1983,White,NA,Bachelor's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$65,000 to under $80,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential Privacy injects statistical noise into collected data in a way that protects privacy without significantly changing conclusions."
True,I agree,Yes,"Differential privacy is a rigorous mathematical definition of privacy. ... Such an algorithm is said to be differentially private if by looking at the output, one cannot tell whether any individual's data was included in the original dataset or not.",Yes,GOOD,NA,NA,True,False,True,True,NA,NA,True,True,2,3,4,4,4,5 - Full Understanding,Man,1993,White,NA,Bachelor's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$40,000 to under $50,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy is a novel, mathematical technique to preserve privacy which is used by companies like Apple and Uber."
True,I agree,I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,5 - Full Understanding,3,4,Man,38,"Asian, Native Hawaiian, or Pacific Islander",NA,Bachelor's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$80,000 to under $100,000",NA
True,I agree,I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,Man,1991,White,NA,Some college but no degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$20,000 to under $30,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy protects a user’s identity and the specifics of their data, meaning individuals incur almost no risk by joining the dataset."
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,3,4,Woman,1990,White,NA,Associate's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$30,000 to under $40,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential Privacy allows analysts to learn useful information from large amounts of data without compromising an individual's privacy."
True,I agree,Yes,PUBLICLY SHARING INFORMATION ANOUT A DATASET,Yes,DONATION,NA,NA,False,True,True,True,NA,NA,True,I don't know,5 - Full Understanding,4,4,5 - Full Understanding,5 - Full Understanding,4,Man,1985,White,NA,Bachelor's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$10,000 to under $20,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy is a novel, mathematical technique to preserve privacy which is used by companies like Apple and Uber."
True,I agree,Yes,"Differential privacy is a rigorous mathematical definition of privacy. ... Such an algorithm is said to be differentially private if by looking at the output, one cannot tell whether any individual's data was included in the original dataset or not.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 - Full Understanding,Prefer not to answer.,5 - Full Understanding,Prefer not to answer.,5 - Full Understanding,Prefer not to answer.,Man,1986,"Hispanic or Latino,Black or African American,White,American Indian or Alaska Native,Asian, Native Hawaiian, or Pacific Islander",NA,Bachelor's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$150,000 to under $200,000",NA
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5 - Full Understanding,3,5 - Full Understanding,4,5 - Full Understanding,Woman,1991,"Asian, Native Hawaiian, or Pacific Islander",NA,"Advanced degree (e.g., Master's, doctorate)","I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$80,000 to under $100,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy is a novel, mathematical technique to preserve privacy which is used by companies like Apple and Uber."
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,Man,1994,White,NA,Bachelor's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$50,000 to under $65,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy ensures that the removal or addition of a single database item does not (substantially) affect the outcome of any analysis. It follows that no risk is incurred by joining the database, providing a mathematically rigorous means of coping with the fact that distributional information may be disclosive."
True,I agree,No,NA,Yes,Well first I would not be worried about other people knowing my salary - it is what it is.  With that said I would feel confident that system that was described is secure.,NA,NA,True,True,True,False,True,True,True,False,4,4,4,4,3,4,Man,1970,White,NA,Bachelor's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$100,000 to under $125,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy ensures that the removal or addition of a single database item does not (substantially) affect the outcome of any analysis. It follows that no risk is incurred by joining the database, providing a mathematically rigorous means of coping with the fact that distributional information may be disclosive."
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,3,3,Woman,1990,White,NA,Associate's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$30,000 to under $40,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential Privacy allows analysts to learn useful information from large amounts of data without compromising an individual's privacy."
True,I agree,Yes,A company decides to do with user data,No,NA,My banking account might be stolen.,NA,True,True,False,True,NA,NA,True,False,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,4,5 - Full Understanding,4,Man,1994,"Asian, Native Hawaiian, or Pacific Islander",NA,Bachelor's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$30,000 to under $40,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy protects a user’s identity and the specifics of their data, meaning individuals incur almost no risk by joining the dataset."
True,I agree,No,NA,I’m not sure,NA,NA,I worry that more of my personsl info can be divulged,NA,True,True,True,NA,NA,True,True,2,2,1 - No Understanding,1 - No Understanding,1 - No Understanding,2,Woman,1958,White,NA,Bachelor's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$150,000 to under $200,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential Privacy injects statistical noise into collected data in a way that protects privacy without significantly changing conclusions."
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5 - Full Understanding,4,4,4,4,Man,1995,White,NA,Bachelor's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$50,000 to under $65,000",NA
True,I agree,I'm not sure,NA,Yes,"Why not?  We  are to care for one another in this world that God created for us.
Love is the greatest commandment.  Sharing a little of that in the form of cash is minor  compared to the great sacrifice Jesus made for us.",NA,NA,NA,True,False,True,NA,NA,I don't know,False,4,3,5 - Full Understanding,2,2,2,Woman,1943,White,NA,Some college but no degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$20,000 to under $30,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential Privacy injects statistical noise into collected data in a way that protects privacy without significantly changing conclusions."
True,I agree,Yes,very unble to make the wrokjer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5 - Full Understanding,Prefer not to answer.,5 - Full Understanding,5 - Full Understanding,Prefer not to answer.,Woman,1958,White,NA,"Advanced degree (e.g., Master's, doctorate)","I have an education in, or work in, the field of computer science, computer engineering or IT.","$50,000 to under $65,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy ensures that the removal or addition of a single database item does not (substantially) affect the outcome of any analysis. It follows that no risk is incurred by joining the database, providing a mathematically rigorous means of coping with the fact that distributional information may be disclosive."
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,3,4,Prefer not to answer.,1983,White,NA,"Advanced degree (e.g., Master's, doctorate)","I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$65,000 to under $80,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential Privacy injects statistical noise into collected data in a way that protects privacy without significantly changing conclusions."
True,I agree,Yes,Differential privacy is a system for publicly sharing information about a dataset by describing the patterns of groups within the dataset while withholding information about individuals in the dataset,I’m not sure,NA,NA,if it is good thing to know about it i will share my salary to it,True,False,True,True,NA,NA,True,False,4,5 - Full Understanding,3,4,3,5 - Full Understanding,Man,1971,White,NA,Bachelor's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$50,000 to under $65,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy is the gold standard in data privacy and protection and is widely recognized as the strongest guarantee of privacy available."
True,I agree,No,NA,Yes,I think it would be beneficial to society if I shared my information with this initiative.,NA,NA,True,False,NA,False,I don't know,I don't know,False,False,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,3,5 - Full Understanding,Woman,1996,"Hispanic or Latino,White",NA,Bachelor's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$50,000 to under $65,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy is a novel, mathematical technique to preserve privacy which is used by companies like Apple and Uber."
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5 - Full Understanding,4,5 - Full Understanding,4,4,Man,1987,White,NA,Bachelor's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$100,000 to under $125,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy is the gold standard in data privacy and protection and is widely recognized as the strongest guarantee of privacy available."
True,I agree,No,NA,Yes,"I don't have a problem with other people knowing my salary. I think most people's general salary can be easily determined anyway, so I wouldn't have a problem specifically letting it be known.",NA,NA,NA,True,True,True,NA,NA,True,True,5 - Full Understanding,5 - Full Understanding,4,5 - Full Understanding,4,3,Man,1983,White,NA,"Advanced degree (e.g., Master's, doctorate)","I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$65,000 to under $80,000",NA
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,Woman,1960,Black or African American,NA,"Advanced degree (e.g., Master's, doctorate)","I have an education in, or work in, the field of computer science, computer engineering or IT.","$80,000 to under $100,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy protects a user’s identity and the specifics of their data, meaning individuals incur almost no risk by joining the dataset."
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,Woman,1972,White,NA,Associate's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$30,000 to under $40,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential Privacy injects statistical noise into collected data in a way that protects privacy without significantly changing conclusions."
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 - Full Understanding,5 - Full Understanding,4,5 - Full Understanding,4,4,Man,1987,White,NA,Bachelor's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$125,000 to under $150,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy ensures that the removal or addition of a single database item does not (substantially) affect the outcome of any analysis. It follows that no risk is incurred by joining the database, providing a mathematically rigorous means of coping with the fact that distributional information may be disclosive."
True,I agree,No,NA,No,NA,I think that there are other things that the money can be spent on.,NA,False,True,True,True,NA,NA,True,True,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,Man,1981,White,NA,"Advanced degree (e.g., Master's, doctorate)","I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$30,000 to under $40,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential Privacy allows analysts to learn useful information from large amounts of data without compromising an individual's privacy."
True,I agree,Yes,Differential privacy is a system for publicly sharing information about a dataset by describing the patterns of groups within the dataset while withholding information about individuals in the dataset.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,5 - Full Understanding,4,4,Woman,1987,White,NA,Bachelor's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$40,000 to under $50,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential Privacy allows analysts to learn useful information from large amounts of data without compromising an individual's privacy."
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1 - No Understanding,3,3,3,Woman,1987,Hispanic or Latino,NA,Bachelor's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$50,000 to under $65,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy is the gold standard in data privacy and protection and is widely recognized as the strongest guarantee of privacy available."
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,Man,37,"White,Asian, Native Hawaiian, or Pacific Islander",NA,Bachelor's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$200,000 or more","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy is a novel, mathematical technique to preserve privacy which is used by companies like Apple and Uber."
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,3,5 - Full Understanding,Man,1951,White,NA,Associate's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$30,000 to under $40,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy protects a user’s identity and the specifics of their data, meaning individuals incur almost no risk by joining the dataset."
True,I agree,I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 - Full Understanding,5 - Full Understanding,3,5 - Full Understanding,4,5 - Full Understanding,Woman,1997,"Asian, Native Hawaiian, or Pacific Islander",NA,Associate's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$10,000 to under $20,000",NA
True,I agree,No,NA,Yes,Why not? It helps people know what kind of money this job makes.,NA,NA,False,NA,NA,True,NA,NA,True,I don't know,2,4,3,4,4,3,Man,2001,Black or African American,NA,Some college but no degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$125,000 to under $150,000",NA
True,I agree,No,NA,No,NA,its personal,NA,True,False,False,True,NA,NA,False,True,3,4,3,2,2,3,Woman,31,White,NA,Bachelor's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$30,000 to under $40,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy is a novel, mathematical technique to preserve privacy which is used by companies like Apple and Uber."
True,I agree,I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,Man,1975,White,NA,Associate's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$100,000 to under $125,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential Privacy injects statistical noise into collected data in a way that protects privacy without significantly changing conclusions."
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 - Full Understanding,5 - Full Understanding,4,4,4,4,Woman,61,White,NA,Bachelor's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$65,000 to under $80,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy is the gold standard in data privacy and protection and is widely recognized as the strongest guarantee of privacy available."
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,Man,1975,White,NA,Associate's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$100,000 to under $125,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential Privacy allows analysts to learn useful information from large amounts of data without compromising an individual's privacy."
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5 - Full Understanding,4,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,Woman,1987,White,NA,Some college but no degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$30,000 to under $40,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy is a novel, mathematical technique to preserve privacy which is used by companies like Apple and Uber."
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5 - Full Understanding,5 - Full Understanding,4,4,5 - Full Understanding,Man,1951,Black or African American,NA,Some college but no degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$10,000 to under $20,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy ensures that the removal or addition of a single database item does not (substantially) affect the outcome of any analysis. It follows that no risk is incurred by joining the database, providing a mathematically rigorous means of coping with the fact that distributional information may be disclosive."
True,I agree,Yes,Making sure that someone can get to the same conclusion regardless of what info is shown to them,Yes,The initiative seems more secure than what I am using right now.,NA,NA,True,False,True,False,False,False,True,False,3,5 - Full Understanding,5 - Full Understanding,4,4,5 - Full Understanding,Man,2000,"White,Asian, Native Hawaiian, or Pacific Islander",NA,Associate's degree,Prefer not to answer.,Prefer not to answer.,"To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy is the gold standard in data privacy and protection and is widely recognized as the strongest guarantee of privacy available."
True,I agree,No,NA,Yes,"It's not a huge secret - this information could be fairly easily found through other means. I don't have any issue with revealing it, either - not feeling like it's very private information.",NA,NA,False,True,True,True,NA,NA,False,True,4,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,Man,1961,White,NA,Bachelor's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$65,000 to under $80,000",NA
True,I agree,No,NA,Yes,transparency is good and having privacy protected in some way makes it more appealing to report,NA,NA,False,NA,True,NA,NA,NA,False,I don't know,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,Man,1988,White,NA,Bachelor's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$50,000 to under $65,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential Privacy injects statistical noise into collected data in a way that protects privacy without significantly changing conclusions."
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,Man,1981,White,NA,Bachelor's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$65,000 to under $80,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy protects a user’s identity and the specifics of their data, meaning individuals incur almost no risk by joining the dataset."
True,I agree,No,NA,Yes,For clear understanding.,NA,NA,NA,False,False,True,NA,NA,False,True,4,4,3,4,3,4,Woman,1986,White,NA,Bachelor's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$65,000 to under $80,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy ensures that the removal or addition of a single database item does not (substantially) affect the outcome of any analysis. It follows that no risk is incurred by joining the database, providing a mathematically rigorous means of coping with the fact that distributional information may be disclosive."
True,I agree,Yes,very mach,Yes,good,NA,NA,True,True,True,True,NA,NA,True,True,4,4,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,3,Woman,1981,Hispanic or Latino,NA,Bachelor's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$50,000 to under $65,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential Privacy allows analysts to learn useful information from large amounts of data without compromising an individual's privacy."
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,4,5 - Full Understanding,5 - Full Understanding,Man,1992,"Asian, Native Hawaiian, or Pacific Islander",NA,Bachelor's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$125,000 to under $150,000",NA
True,I agree,No,NA,No,NA,it is none of their business how much i make,NA,False,True,True,True,NA,NA,True,True,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,Woman,1992,"Hispanic or Latino,Black or African American,White",NA,High school graduate (high school diploma or equivalent including GED),"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$20,000 to under $30,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential Privacy injects statistical noise into collected data in a way that protects privacy without significantly changing conclusions."
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,2,4,Woman,1981,White,NA,Associate's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$100,000 to under $125,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy is a novel, mathematical technique to preserve privacy which is used by companies like Apple and Uber."
True,I agree,No,NA,Yes,"As long as my privacy is maintained, I see no reason why I shouldn't.",NA,NA,True,False,NA,False,True,True,False,False,5 - Full Understanding,5 - Full Understanding,4,5 - Full Understanding,4,4,Man,1987,White,NA,Bachelor's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$40,000 to under $50,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy protects a user’s identity and the specifics of their data, meaning individuals incur almost no risk by joining the dataset."
True,I agree,No,NA,Yes,I want to see how everyone is paid so I know I'm not being ripped off.,NA,NA,True,True,False,True,NA,NA,False,False,2,5 - Full Understanding,2,3,4,4,Man,2002,White,NA,High school graduate (high school diploma or equivalent including GED),"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$200,000 or more","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy is the gold standard in data privacy and protection and is widely recognized as the strongest guarantee of privacy available."
True,I agree,Yes,I AM GOLD,Yes,DIFFICUT CULZAREE IN THE MY SALARY,NA,NA,True,NA,True,True,NA,NA,True,True,4,5 - Full Understanding,4,5 - Full Understanding,4,5 - Full Understanding,Woman,50,White,NA,Associate's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$30,000 to under $40,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy ensures that the removal or addition of a single database item does not (substantially) affect the outcome of any analysis. It follows that no risk is incurred by joining the database, providing a mathematically rigorous means of coping with the fact that distributional information may be disclosive."
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 - No Understanding,3,4,2,3,3,Man,1987,White,NA,Bachelor's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$50,000 to under $65,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy is a novel, mathematical technique to preserve privacy which is used by companies like Apple and Uber."
True,I agree,No,NA,Yes,"Most people have a strange awkwardness about sharing their salary or pay information, but it doesn't bother me any. If they would like the information to help their research, I don't mind sharing it.",NA,NA,NA,True,False,True,NA,NA,I don't know,True,2,3,3,3,4,3,Woman,1993,White,NA,Some college but no degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$20,000 to under $30,000",NA
True,I agree,I'm not sure,NA,No,NA,I want to share my share with the initiative.,NA,False,True,True,True,NA,NA,True,True,Prefer not to answer.,Prefer not to answer.,Prefer not to answer.,Prefer not to answer.,Prefer not to answer.,Prefer not to answer.,Prefer not to answer.,1965,Prefer not to answer.,NA,Prefer not to answer.,Prefer not to answer.,Prefer not to answer.,"To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential Privacy allows analysts to learn useful information from large amounts of data without compromising an individual's privacy."
True,I agree,No,NA,I’m not sure,NA,NA,I would need more information and explanation of the differential privacy and its affect on any information that may be given for the project.,True,NA,NA,NA,NA,NA,False,False,5 - Full Understanding,5 - Full Understanding,3,5 - Full Understanding,2,3,Man,1987,Hispanic or Latino,NA,Bachelor's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$10,000 to under $20,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy ensures that the removal or addition of a single database item does not (substantially) affect the outcome of any analysis. It follows that no risk is incurred by joining the database, providing a mathematically rigorous means of coping with the fact that distributional information may be disclosive."
True,I agree,No,NA,Yes,because it is completely anonymous and wont be embarrassing or concequential,NA,NA,True,False,False,False,True,True,True,False,3,5 - Full Understanding,3,4,4,5 - Full Understanding,Man,1992,White,NA,"Advanced degree (e.g., Master's, doctorate)","I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$125,000 to under $150,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy is the gold standard in data privacy and protection and is widely recognized as the strongest guarantee of privacy available."
